url,FileSize,NumOfOutLink,ContentType
https://www.c-span.org/search/?query=washington%2Bjournal&searchtype=All,34 KB,65,text/html
https://www.c-span.org/search/?searchtype=Clips&seriesid%5B%5D=5&sort=Trending,61 KB,96,text/html
https://www.c-span.org/about/privacy/,35 KB,54,text/html
https://www.c-span.org/classroom/document/?7725,13 KB,74,text/html
https://www.c-span.org/special/?camerasInTheCourt,29 KB,55,text/html
https://www.c-span.org/classroom/document/?7722,13 KB,74,text/html
https://www.c-span.org/series/?communicators,40 KB,76,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=71,39 KB,106,text/html
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=155,70 KB,96,text/html
https://www.c-span.org/classroom/document/?7689,13 KB,74,text/html
https://www.c-span.org/classroom/document/?7720,13 KB,74,text/html
https://www.c-span.org/classroom/about/,12 KB,68,text/html
https://www.c-span.org/search/?sort=Newest&tagid%5B%5D=1069,72 KB,96,text/html
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2F,12 KB,67,text/html
https://www.c-span.org/search/?searchtype=Videos&seriesid%5B%5D=5&sort=Most%2BRecent%2BAiring,72 KB,96,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fseries%2F%3FbookTv,35 KB,56,text/html
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=154,71 KB,96,text/html
https://www.c-span.org/search/?query=Landmark%2BCases&searchtype=All,34 KB,66,text/html
https://www.c-span.org/search/?query=After%2BWords&searchtype=Videos,71 KB,106,text/html
https://www.c-span.org/series/?studentsAndLeaders,39 KB,75,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=55,39 KB,105,text/html
https://www.c-span.org/search/?sort=Newest&tagid%5B%5D=5709,56 KB,70,text/html
https://www.c-span.org/series/?citiesTour,43 KB,61,text/html
https://www.c-span.org/search/?searchtype=Videos&seriesid%5B%5D=13&sort=Most%2BRecent%2BAiring,75 KB,96,text/html
https://www.c-span.org/about/videoLibrary/,30 KB,54,text/html
https://www.c-span.org/podcasts/,264 KB,565,text/html
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=156,71 KB,96,text/html
https://www.c-span.org/networks/?channel=radio,37 KB,83,text/html
https://www.c-span.org/classroom/login/?redir=classroom%2Fdocument%2F%3F7694,12 KB,67,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=52,39 KB,106,text/html
https://www.c-span.org/about/leadership/,46 KB,69,text/html
https://www.c-span.org/MyC-SPAN/login/?follow=tag%2F5709,35 KB,57,text/html
